row_key,ticker,company_name,industry,fiscal_year,fiscal_year_end,unit,total_assets,total_liabilities,equity,registered_capital,accumulated_loss,current_assets,current_liabilities,revenue_period_adjusted,gross_profit_period_adjusted,operating_profit_period_adjusted,net_income_period_adjusted,operating_cash_flow_period_adjusted,financial_expense_period_adjusted,leverage_ratio,current_ratio,roa_period_adjusted,roe_period_adjusted,equity_ratio,ocf_to_assets_period_adjusted,financial_expense_to_assets_period_adjusted,profit_margin_period_adjusted,operating_margin_period_adjusted,gross_margin_period_adjusted,net_margin_period_adjusted,financial_expense_to_revenue_period_adjusted,asset_turnover_period_adjusted,revenue_growth_period_adjusted,net_income_growth_period_adjusted,sales_growth_period_adjusted,accumulated_loss_to_capital_ratio,debt_to_equity,loss_dummy,equity_negative_dummy,distressed_target_reviewed,usable_for_model_flag,target_status_reviewed,distressed_flag_source_reviewed,data_quality_flag,audit_status_clean,statement_scope_status,non_12_month_period_flag,exclusion_flag,manual_review_required_clean,source_file,source_url,ocf_resolution_status,gross_profit_resolution_status
بالبر|1402,بالبر,کابل البرز,نامشخص در فایل ارسالی,1402,1402/06/31,میلیون ریال,11324505.0,10535982.0,788523.0,640000.0,0.0,10039077.0,10224751.0,14608370.0,1026593.0,677416.0,118599.0,101640.0,-513695.0,0.9303702016114611,0.9818407313782018,0.010472775631252757,0.15040651953081902,0.06962979838853883,0.008975226731764435,-0.045361364580615224,0.0081185649049141,0.04637177179931779,0.07027430165035524,0.0081185649049141,-0.035164429707078886,1.2899786789797876,0.2709238637751677,-0.5910774132152757,0.2709238637751677,0.0,13.36166731978649,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,,audited_indicated,separate_or_parent_only_indicated,0,1,1,بالبر_۱۴۰۲_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۲_۰۶_۳۱ (حسابرسی شده).xlsx,,observed_or_verified,observed_or_verified
برکت|1393,برکت,گروه دارویی برکت,مواد و محصولات دارویی / هلدینگ دارویی,1393,1393/12/29,میلیون ریال,8568158.0,4026004.0,4542154.0,3400000.0,0.0,1103841.0,1961442.0,1074268.0,,986303.0,866498.0,-937828.0,-134604.0,0.4698797571193248,0.5627701456377502,0.10113002117841431,0.19076808051862618,0.5301202428806752,-0.10945503105801738,-0.01570979433385799,0.8065938853247048,0.918116335960859,,0.8065938853247048,-0.1252983426854379,0.1253791071546533,,,,0.0,0.8863644869812869,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,comparative_extracted_verify_required,audit_status_unknown,separate_or_parent_only_indicated,0,0,0,بركت_۱۳۹۴_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۴_۱۲_۲۹ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved
برکت|1394,برکت,گروه دارویی برکت,مواد و محصولات دارویی / هلدینگ دارویی,1394,1394/12/29,میلیون ریال,10171085.0,5520322.0,4650763.0,3400000.0,0.0,1987855.0,3264261.0,1183861.0,,1086290.0,908608.0,-253909.0,-191583.0,0.5427466194609523,0.6089755077795557,0.0893324556819651,0.19536751281456397,0.4572533805390477,-0.024963806712853153,-0.01883604354894291,0.7674955083409285,0.917582385094196,,0.7674955083409285,-0.16182896471798633,0.11639476024435938,0.10201644282432316,0.048597919441245106,0.10201644282432316,0.0,1.186971256114319,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,ok,audit_status_unknown,separate_or_parent_only_indicated,0,0,0,بركت_۱۳۹۴_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۴_۱۲_۲۹ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved
برکت|1395,برکت,گروه دارویی برکت,مواد و محصولات دارویی / هلدینگ دارویی,1395,1395/12/30,میلیون ریال,10743900.0,5896175.0,4847725.0,3400000.0,0.0,1730713.0,4096996.0,1311930.0,,1228781.0,1046962.0,523331.0,-184292.0,0.5487928033581846,0.4224346325942227,0.09744710952261283,0.21596975901066995,0.4512071966418154,0.04870959335064548,-0.017153175290164652,0.7980319071901703,0.9366208562956865,,0.7980319071901703,-0.140473958214234,0.12210928992265378,0.10817908521355125,0.1522702859759104,0.10817908521355125,0.0,1.216276707115193,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,ok,audit_status_unknown,separate_or_parent_only_indicated,0,0,0,بركت_۱۳۹۵_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۵_۱۲_۳۰ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved
برکت|1396,برکت,گروه دارویی برکت,مواد و محصولات دارویی / هلدینگ دارویی,1396,1396/12/29,میلیون ریال,11369032.0,6622786.0,4746246.0,3400000.0,0.0,1565378.0,2592608.0,644148.0,,542680.0,619321.0,300167.0,-176234.0,0.5825285741125542,0.6037850689344475,0.05447438269150795,0.13048649395754033,0.4174714258874458,0.026402159832077172,-0.015501231767137255,0.9614576153306383,0.8424771946819675,,0.9614576153306383,-0.2735924042300838,0.05665812181723123,-0.5090073403306579,-0.40845895075465966,-0.5090073403306579,0.0,1.395373522569205,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,ok,audit_status_unknown,separate_or_parent_only_indicated,0,0,0,بركت_۱۳۹۶_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved
برکت|1397,برکت,گروه دارویی برکت,مواد و محصولات دارویی / هلدینگ دارویی,1397,1397/12/29,میلیون ریال,11645928.0,6903657.0,4742271.0,3400000.0,0.0,1383101.0,2544727.0,583666.0,,462553.0,370025.0,-64139.0,-196050.0,0.5927957823541413,0.5435164557927039,0.03177290809285443,0.07802696218752576,0.4072042176458587,-0.0055074185586584425,-0.01683421020634852,0.6339670290885541,0.7924960508235874,,0.6339670290885541,-0.33589415864552674,0.05011760333740686,-0.09389457081291877,-0.40253115912426674,-0.09389457081291877,0.0,1.455770241725958,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,ok,audit_status_unknown,separate_or_parent_only_indicated,0,0,0,بركت_۱۳۹۷_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۱۲_۲۹ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved
برکت|1398,برکت,گروه دارویی برکت,مواد و محصولات دارویی / هلدینگ دارویی,1398,1398/12/29,میلیون ریال,14098499.0,5162705.0,8935794.0,5800000.0,0.0,3210199.0,1193031.0,2226503.0,,2115406.0,1963523.0,628347.0,-204367.0,0.3661882729501914,2.690792611424179,0.1392717763784641,0.21973682472984493,0.6338117270498086,0.044568361497206194,-0.014495656594365117,0.8818865278870048,0.9501024701067099,,0.8818865278870048,-0.09178833354367813,0.15792482589813284,2.8146868243139056,4.306460374299034,2.8146868243139056,0.0,0.577755597320171,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,ok,audit_status_unknown,separate_or_parent_only_indicated,0,0,0,بركت_۱۳۹۸_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved
برکت|1399,برکت,گروه دارویی برکت,مواد و محصولات دارویی / هلدینگ دارویی,1399,1399/12/30,میلیون ریال,21698452.0,12125240.0,9573212.0,5800000.0,0.0,5166883.0,5172199.0,2688856.0,,2558079.0,2377418.0,288995.0,-195073.0,0.5588066835366873,0.9989721973187806,0.10956624924211184,0.24834068231226886,0.4411933164633127,0.013318692043100586,-0.008990180497668681,0.8841745337050404,0.951363330725037,,0.8841745337050404,-0.07254869728985115,0.12391925470075008,0.20765882641972636,0.21079203044731332,0.20765882641972636,0.0,1.266580119608758,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,ok,audit_status_unknown,separate_or_parent_only_indicated,0,1,1,بركت_۱۳۹۹_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved
برکت|1400,برکت,گروه دارویی برکت,مواد و محصولات دارویی / هلدینگ دارویی,1400,1400/12/29,میلیون ریال,42363429.0,18870382.0,23493047.0,7340000.0,0.0,20344484.0,13277360.0,14589218.0,,14355832.0,14211441.0,1444441.0,-118295.0,0.4454403820804969,1.532268764272416,0.33546484162082346,0.6049211496490855,0.5545596179195031,0.03409641367793905,-0.002792384912939885,0.9741057402802535,0.984002843743921,,0.9741057402802535,-0.008108385247242176,0.34438236810339407,4.4258085966671326,4.977678725407143,4.4258085966671326,0.0,0.8032326330424487,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,ok,audit_status_unknown,separate_or_parent_only_indicated,0,1,1,بركت_۱۴۰۰_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۱۲_۲۹ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved
برکت|1401,برکت,گروه دارویی برکت,مواد و محصولات دارویی / هلدینگ دارویی,1401,1401/12/29,میلیون ریال,45948777.0,25658735.0,20290042.0,7340000.0,0.0,18006120.0,13128951.0,5354992.0,,5055217.0,8549443.0,2596208.0,-183520.0,0.5584204123648383,1.371482001875093,0.18606464759660524,0.42136152305648256,0.4415795876351616,0.05650222202867337,-0.003994012724212442,1.5965370256388804,0.9440195242121744,,1.5965370256388804,-0.034270826174903714,0.1165426448673487,-0.6329486611276903,-0.3984112518920495,-0.6329486611276903,0.0,1.264597431587377,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,ok,audit_status_unknown,separate_or_parent_only_indicated,0,1,1,بركت_۱۴۰۱_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۱_۱۲_۲۹ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved
