ticker,fiscal_year_t,target_year,temporal_folds,target,predictor_year_t,cpi_observation_year,fx_observation_year_numerator,fx_observation_year_denominator,intl_cpi_inflation_lag1_wdi,intl_fx_change_official_lag1_wdi,fx_zero_change
حپترو,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
حپترو,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
حپترو,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
حکشتی,1392,1393,"fold1_train,fold2_train",0,2013,2012,2012,2011,27.256812724291,13.703843265919,False
حکشتی,1394,1395,"fold1_train,fold2_train",0,2015,2014,2014,2013,16.606553235745,34.271475600933,False
حکشتی,1395,1396,"fold1_validation,fold2_train",0,2016,2015,2015,2014,12.484681561153,11.184167544081,False
حکشتی,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
حکشتی,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
حکشتی,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
خاذین,1392,1393,"fold1_train,fold2_train",1,2013,2012,2012,2011,27.256812724291,13.703843265919,False
خاذین,1394,1395,"fold1_train,fold2_train",0,2015,2014,2014,2013,16.606553235745,34.271475600933,False
خاذین,1395,1396,"fold1_validation,fold2_train",0,2016,2015,2015,2014,12.484681561153,11.184167544081,False
خاذین,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
خاذین,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
خاذین,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
خبهمن,1392,1393,"fold1_train,fold2_train",1,2013,2012,2012,2011,27.256812724291,13.703843265919,False
خبهمن,1393,1394,"fold1_train,fold2_train",1,2014,2013,2013,2012,36.603035519103,41.370596008709,False
خبهمن,1394,1395,"fold1_train,fold2_train",1,2015,2014,2014,2013,16.606553235745,34.271475600933,False
خبهمن,1395,1396,"fold1_validation,fold2_train",0,2016,2015,2015,2014,12.484681561153,11.184167544081,False
خبهمن,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
خبهمن,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
ختوقا,1392,1393,"fold1_train,fold2_train",1,2013,2012,2012,2011,27.256812724291,13.703843265919,False
ختوقا,1393,1394,"fold1_train,fold2_train",1,2014,2013,2013,2012,36.603035519103,41.370596008709,False
ختوقا,1394,1395,"fold1_train,fold2_train",1,2015,2014,2014,2013,16.606553235745,34.271475600933,False
ختوقا,1395,1396,"fold1_validation,fold2_train",1,2016,2015,2015,2014,12.484681561153,11.184167544081,False
ختوقا,1396,1397,"fold1_validation,fold2_train",1,2017,2016,2016,2015,7.24542548953,6.354472391228,False
ختوقا,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
ختوقا,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
خرینگ,1392,1393,"fold1_train,fold2_train",0,2013,2012,2012,2011,27.256812724291,13.703843265919,False
خرینگ,1393,1394,"fold1_train,fold2_train",1,2014,2013,2013,2012,36.603035519103,41.370596008709,False
خرینگ,1394,1395,"fold1_train,fold2_train",1,2015,2014,2014,2013,16.606553235745,34.271475600933,False
خرینگ,1395,1396,"fold1_validation,fold2_train",0,2016,2015,2015,2014,12.484681561153,11.184167544081,False
خرینگ,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
خرینگ,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
خرینگ,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
خمحور,1392,1393,"fold1_train,fold2_train",0,2013,2012,2012,2011,27.256812724291,13.703843265919,False
خمحور,1393,1394,"fold1_train,fold2_train",0,2014,2013,2013,2012,36.603035519103,41.370596008709,False
خمحور,1395,1396,"fold1_validation,fold2_train",0,2016,2015,2015,2014,12.484681561153,11.184167544081,False
خمحور,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
خمحور,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
خمحور,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
خمهر,1392,1393,"fold1_train,fold2_train",0,2013,2012,2012,2011,27.256812724291,13.703843265919,False
خمهر,1393,1394,"fold1_train,fold2_train",0,2014,2013,2013,2012,36.603035519103,41.370596008709,False
خمهر,1394,1395,"fold1_train,fold2_train",1,2015,2014,2014,2013,16.606553235745,34.271475600933,False
خمهر,1395,1396,"fold1_validation,fold2_train",1,2016,2015,2015,2014,12.484681561153,11.184167544081,False
خمهر,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
خمهر,1397,1398,fold2_validation,1,2018,2017,2017,2016,8.044924376603,7.210494559912,False
خمهر,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
خنصیر,1392,1393,"fold1_train,fold2_train",1,2013,2012,2012,2011,27.256812724291,13.703843265919,False
خنصیر,1393,1394,"fold1_train,fold2_train",1,2014,2013,2013,2012,36.603035519103,41.370596008709,False
خنصیر,1394,1395,"fold1_train,fold2_train",1,2015,2014,2014,2013,16.606553235745,34.271475600933,False
خنصیر,1395,1396,"fold1_validation,fold2_train",1,2016,2015,2015,2014,12.484681561153,11.184167544081,False
خنصیر,1396,1397,"fold1_validation,fold2_train",1,2017,2016,2016,2015,7.24542548953,6.354472391228,False
خنصیر,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
خنصیر,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
خوساز,1392,1393,"fold1_train,fold2_train",0,2013,2012,2012,2011,27.256812724291,13.703843265919,False
خوساز,1393,1394,"fold1_train,fold2_train",0,2014,2013,2013,2012,36.603035519103,41.370596008709,False
خوساز,1394,1395,"fold1_train,fold2_train",1,2015,2014,2014,2013,16.606553235745,34.271475600933,False
خوساز,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
خوساز,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
خوساز,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
خچرخش,1392,1393,"fold1_train,fold2_train",0,2013,2012,2012,2011,27.256812724291,13.703843265919,False
خچرخش,1393,1394,"fold1_train,fold2_train",0,2014,2013,2013,2012,36.603035519103,41.370596008709,False
خچرخش,1395,1396,"fold1_validation,fold2_train",0,2016,2015,2015,2014,12.484681561153,11.184167544081,False
خچرخش,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
خچرخش,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
خچرخش,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
خکمک,1392,1393,"fold1_train,fold2_train",1,2013,2012,2012,2011,27.256812724291,13.703843265919,False
خکمک,1393,1394,"fold1_train,fold2_train",0,2014,2013,2013,2012,36.603035519103,41.370596008709,False
خکمک,1394,1395,"fold1_train,fold2_train",0,2015,2014,2014,2013,16.606553235745,34.271475600933,False
خکمک,1395,1396,"fold1_validation,fold2_train",0,2016,2015,2015,2014,12.484681561153,11.184167544081,False
خکمک,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
خکمک,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
خکمک,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
ددام,1393,1394,"fold1_train,fold2_train",0,2014,2013,2013,2012,36.603035519103,41.370596008709,False
ددام,1394,1395,"fold1_train,fold2_train",1,2015,2014,2014,2013,16.606553235745,34.271475600933,False
ددام,1395,1396,"fold1_validation,fold2_train",1,2016,2015,2015,2014,12.484681561153,11.184167544081,False
ددام,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
ددام,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
ددام,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
دروز,1394,1395,"fold1_train,fold2_train",0,2015,2014,2014,2013,16.606553235745,34.271475600933,False
دروز,1395,1396,"fold1_validation,fold2_train",0,2016,2015,2015,2014,12.484681561153,11.184167544081,False
دروز,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
دروز,1397,1398,fold2_validation,1,2018,2017,2017,2016,8.044924376603,7.210494559912,False
دروز,1398,1399,fold2_validation,1,2019,2018,2018,2017,18.014118337187,20.691585576232,False
دسبحا,1392,1393,"fold1_train,fold2_train",0,2013,2012,2012,2011,27.256812724291,13.703843265919,False
دسبحا,1393,1394,"fold1_train,fold2_train",0,2014,2013,2013,2012,36.603035519103,41.370596008709,False
دسبحا,1394,1395,"fold1_train,fold2_train",0,2015,2014,2014,2013,16.606553235745,34.271475600933,False
دسبحا,1395,1396,"fold1_validation,fold2_train",0,2016,2015,2015,2014,12.484681561153,11.184167544081,False
دسبحا,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
دسبحا,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
دسبحا,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
دسینا,1393,1394,"fold1_train,fold2_train",0,2014,2013,2013,2012,36.603035519103,41.370596008709,False
دسینا,1394,1395,"fold1_train,fold2_train",0,2015,2014,2014,2013,16.606553235745,34.271475600933,False
دسینا,1395,1396,"fold1_validation,fold2_train",0,2016,2015,2015,2014,12.484681561153,11.184167544081,False
