model_family,configuration_id,temporal_fold,seed,validation_pr_auc
random_forest,rf__depth_5__maxfeat_0.5__leaf_5,fold1_validation,20260720,0.418925672308
random_forest,rf__depth_5__maxfeat_0.5__leaf_5,fold1_validation,20260721,0.424635154407
random_forest,rf__depth_5__maxfeat_0.5__leaf_5,fold2_validation,20260719,0.255237904568
random_forest,rf__depth_5__maxfeat_0.5__leaf_5,fold2_validation,20260720,0.256297830195
random_forest,rf__depth_5__maxfeat_0.5__leaf_5,fold2_validation,20260721,0.254682575228
random_forest,rf__depth_5__maxfeat_0.5__leaf_10,fold1_validation,20260719,0.434023427299
random_forest,rf__depth_5__maxfeat_0.5__leaf_10,fold1_validation,20260720,0.375232134859
random_forest,rf__depth_5__maxfeat_0.5__leaf_10,fold1_validation,20260721,0.410901676909
random_forest,rf__depth_5__maxfeat_0.5__leaf_10,fold2_validation,20260719,0.269896299353
random_forest,rf__depth_5__maxfeat_0.5__leaf_10,fold2_validation,20260720,0.271329386561
random_forest,rf__depth_5__maxfeat_0.5__leaf_10,fold2_validation,20260721,0.268357949404
random_forest,rf__depth_None__maxfeat_'sqrt'__leaf_5,fold1_validation,20260719,0.459930050937
random_forest,rf__depth_None__maxfeat_'sqrt'__leaf_5,fold1_validation,20260720,0.458619038724
random_forest,rf__depth_None__maxfeat_'sqrt'__leaf_5,fold1_validation,20260721,0.46352860649
random_forest,rf__depth_None__maxfeat_'sqrt'__leaf_5,fold2_validation,20260719,0.300595636248
random_forest,rf__depth_None__maxfeat_'sqrt'__leaf_5,fold2_validation,20260720,0.289524446142
random_forest,rf__depth_None__maxfeat_'sqrt'__leaf_5,fold2_validation,20260721,0.273410158353
random_forest,rf__depth_None__maxfeat_'sqrt'__leaf_10,fold1_validation,20260719,0.45555754602
random_forest,rf__depth_None__maxfeat_'sqrt'__leaf_10,fold1_validation,20260720,0.485907491386
random_forest,rf__depth_None__maxfeat_'sqrt'__leaf_10,fold1_validation,20260721,0.447520952277
random_forest,rf__depth_None__maxfeat_'sqrt'__leaf_10,fold2_validation,20260719,0.302014367041
random_forest,rf__depth_None__maxfeat_'sqrt'__leaf_10,fold2_validation,20260720,0.297882668086
random_forest,rf__depth_None__maxfeat_'sqrt'__leaf_10,fold2_validation,20260721,0.308851143009
random_forest,rf__depth_None__maxfeat_0.5__leaf_5,fold1_validation,20260719,0.421645517429
random_forest,rf__depth_None__maxfeat_0.5__leaf_5,fold1_validation,20260720,0.412052582343
random_forest,rf__depth_None__maxfeat_0.5__leaf_5,fold1_validation,20260721,0.42616841317
random_forest,rf__depth_None__maxfeat_0.5__leaf_5,fold2_validation,20260719,0.25364521077
random_forest,rf__depth_None__maxfeat_0.5__leaf_5,fold2_validation,20260720,0.255940851644
random_forest,rf__depth_None__maxfeat_0.5__leaf_5,fold2_validation,20260721,0.252520506383
random_forest,rf__depth_None__maxfeat_0.5__leaf_10,fold1_validation,20260719,0.436312596848
