item,value,source_artifact
threshold,0.426878838687,project/stage129/threshold_derivation_attempt3/stage129_threshold_value_attempt3.json
threshold_rule,development_OOF_F2_maximizing_threshold,project/stage129/threshold_derivation_attempt3/stage129_threshold_value_attempt3.json
threshold_tie_break,higher_threshold,project/stage129/threshold_derivation_attempt3/stage129_threshold_value_attempt3.json
threshold_derived_from,pooled_development_oof_only,project/stage129/threshold_derivation_attempt3/stage129_threshold_value_attempt3.json
true_positives,8,project/stage129/final_test_execution/stage129_final_test_metrics.json
false_positives,43,project/stage129/final_test_execution/stage129_final_test_metrics.json
true_negatives,291,project/stage129/final_test_execution/stage129_final_test_metrics.json
false_negatives,4,project/stage129/final_test_execution/stage129_final_test_metrics.json
