sample_design,ticker,fiscal_year_t,target_year,temporal_folds,pair_cutoff_date,t_star,t_star_source_range_id,t_star_raw_observation_present,t_star_adjusted_close_present,t_star_qTotCap,t_star_qTotTran5J,t_star_zTotTran,t_star_raw_close,t_star_adjusted_close_status,window_start_calendar_date,t0_trading_date,t0_source_range_id,t0_raw_observation_present,t0_adjusted_close_present,t0_qTotCap,t0_qTotTran5J,t0_zTotTran,t0_raw_close,t0_adjusted_close_status,authorized_range_start,authorized_range_end,first_raw_daily_date,last_raw_daily_date,first_adjusted_price_date,last_adjusted_price_date,window_trading_day_count,missing_price_day_count,zero_traded_value_day_count,usable_daily_return_count,usable_amihud_day_count,equity_return_window_usable,realized_volatility_usable,amihud_illiquidity_usable,primary_root_cause,secondary_root_causes,evidence_status,range_is_partial_source
main_rule_a_primary,بموتو,1392,1393,fold1_train;fold2_train,2014-01-20,2014-01-18,RNG0003,True,True,471352317.0,69178.0,53.0,6915.0,OK,2013-01-18,2013-01-19,RNG0003,True,False,0.0,0.0,0.0,3336.0,ADJUSTED_CLOSE_UNRESOLVED,2012-12-20,2020-01-19,2012-12-22,2020-01-19,2012-12-22,2020-01-19,242,64,64,169,169,False,True,True,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,ثنوسا,1392,1393,fold1_train;fold2_train,2014-01-20,2014-01-18,RNG0009,True,True,114863246.0,17422.0,8.0,6847.0,OK,2013-01-18,2013-01-19,RNG0009,True,False,0.0,0.0,0.0,3855.0,ADJUSTED_CLOSE_UNRESOLVED,2012-12-20,2020-01-19,2012-12-22,2020-01-19,2012-12-22,2020-01-19,242,64,64,160,160,False,True,True,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,حپترو,1392,1393,fold1_train;fold2_train,2014-07-20,2014-07-16,RNG0012,True,True,1003970716.0,448041.0,78.0,2241.0,OK,2013-07-16,2013-07-16,RNG0012,True,True,1223314621.0,679709.0,95.0,1800.0,OK,2013-06-19,2020-07-18,2013-06-19,2020-07-18,2013-06-30,2020-07-18,245,23,23,209,209,True,True,True,,,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,حکشتی,1392,1393,fold1_train;fold2_train,2013-10-22,2013-10-21,RNG0013,True,False,0.0,0.0,0.0,1746.0,ADJUSTED_CLOSE_UNRESOLVED,2012-10-21,2012-10-21,RNG0013,True,False,0.0,0.0,0.0,991.0,ADJUSTED_CLOSE_UNRESOLVED,2012-09-21,2019-10-21,2012-09-22,2019-10-21,2012-09-22,2019-10-20,241,33,33,196,196,False,True,True,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,خاذین,1392,1393,fold1_train;fold2_train,2014-07-20,2014-07-16,RNG0014,True,True,914589631.0,313824.0,57.0,2914.0,OK,2013-07-16,2013-07-16,RNG0014,True,True,157673164.0,187977.0,27.0,839.0,OK,2013-06-19,2020-07-18,2013-06-19,2020-07-18,2013-06-19,2020-07-18,245,15,15,224,224,True,True,True,,,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,خبهمن,1392,1393,fold1_train;fold2_train,2014-07-20,2014-07-16,RNG0015,True,True,28482934616.0,16508420.0,1002.0,1725.0,OK,2013-07-16,2013-07-16,RNG0015,True,True,1523199371.0,934966.0,124.0,1664.0,OK,2013-06-19,2020-07-18,2013-06-19,2020-07-18,2013-06-22,2020-07-18,245,7,7,235,235,True,True,True,,,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,ختوقا,1392,1393,fold1_train;fold2_train,2014-07-20,2014-07-16,RNG0016,True,True,490811853.0,181462.0,42.0,2699.0,OK,2013-07-16,2013-07-16,RNG0016,True,False,0.0,0.0,0.0,1126.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2020-07-18,2013-06-19,2020-07-18,2013-07-22,2020-07-18,245,18,18,221,221,False,True,True,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,خرینگ,1392,1393,fold1_train;fold2_train,2014-07-20,2014-07-16,RNG0017,True,True,3538823712.0,1275243.0,273.0,2775.0,OK,2013-07-16,2013-07-16,RNG0017,True,True,1029760534.0,934767.0,99.0,1102.0,OK,2013-06-19,2020-07-18,2013-06-19,2020-07-18,2013-06-23,2020-07-18,245,27,27,205,205,True,True,True,,,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,خمحور,1392,1393,fold1_train;fold2_train,2014-07-20,2014-07-16,RNG0018,True,True,685043964.0,379752.0,80.0,1804.0,OK,2013-07-16,2013-07-16,RNG0018,True,True,1556371056.0,1065554.0,173.0,1461.0,OK,2013-06-19,2020-07-18,2013-06-19,2020-07-18,2013-06-22,2020-07-18,245,28,28,201,201,True,True,True,,,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,خمهر,1392,1393,fold1_train;fold2_train,2014-07-20,2014-07-16,RNG0019,True,True,1353524006.0,504536.0,110.0,2683.0,OK,2013-07-16,2013-07-16,RNG0019,True,True,2663348749.0,3067742.0,282.0,868.0,OK,2013-06-19,2020-07-18,2013-06-19,2020-07-18,2013-06-19,2020-07-18,245,27,27,212,212,True,True,True,,,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
