ticker,ticker_normalized,company_name
خمهر,خمهر,مهرکام پارس
خنصیر,خنصیر,مهندسی نصیر ماشین
خوساز,خوساز,محورسازان ایران خودرو
خچرخش,خچرخش,چرخشگر
خکمک,خکمک,کمک فنر ایندامین
دروز,دروز,روز دارو
دسبحا,دسبحا,گروه دارویی سبحان
دیران,دیران,ایران دارو
رانفور,رانفور,خدمات انفورماتیک
رمپنا,رمپنا,گروه مپنا (سهامی عام)
