sample_design,target,window,rows,positive,negative,event_gate_decision
main_rule_b_listing_robustness,FD_target_persistent_loss_robustness_t_plus_1,fold1_train,242,42,200,eligible_for_comparative_claims
main_rule_b_listing_robustness,FD_target_persistent_loss_robustness_t_plus_1,fold1_validation,202,30,172,validation_window_event_threshold_met
main_rule_b_listing_robustness,FD_target_persistent_loss_robustness_t_plus_1,fold2_train,444,72,372,eligible_for_comparative_claims
main_rule_b_listing_robustness,FD_target_persistent_loss_robustness_t_plus_1,fold2_validation,211,13,198,validation_window_event_threshold_met
main_rule_b_listing_robustness,FD_target_persistent_loss_robustness_t_plus_1,final_test,338,14,324,final_test_event_threshold_met
main_rule_b_listing_robustness,FD_target_persistent_loss_robustness_t_plus_1,all,993,99,894,eligible_for_comparative_claims
main_rule_b_listing_robustness,FD_target_article141_only_t_plus_1,development,655,42,613,eligible_for_comparative_claims
main_rule_b_listing_robustness,FD_target_article141_only_t_plus_1,fold1_train,242,22,220,eligible_for_comparative_claims
main_rule_b_listing_robustness,FD_target_article141_only_t_plus_1,fold1_validation,202,17,185,validation_window_event_threshold_met
main_rule_b_listing_robustness,FD_target_article141_only_t_plus_1,fold2_train,444,39,405,eligible_for_comparative_claims
main_rule_b_listing_robustness,FD_target_article141_only_t_plus_1,fold2_validation,211,3,208,validation_window_below_min_positives
main_rule_b_listing_robustness,FD_target_article141_only_t_plus_1,final_test,338,0,338,distributional_descriptive_robustness_only;no_comparative_predictive_performance_claim;no_inferential_model_ranking
main_rule_b_listing_robustness,FD_target_article141_only_t_plus_1,all,993,42,951,eligible_for_comparative_claims
