symbol,insCode,first_trade_date_gregorian,first_trade_date_jalali,status,note
وکغدیر,40553302624764543,2023-03-14,1401/12/23,ok,"This is first observed trading date, not official IPO/listing date."
اروند,58356374066358100,2025-12-22,1404/10/01,ok,"This is first observed trading date, not official IPO/listing date."
