symbol,insCode,first_trade_date_gregorian,first_trade_date_jalali,status,note
سیلام,14617104402836487,2003-12-17,1382/09/26,ok,"This is first observed trading date, not official IPO/listing date."
شاراک,7711282667602555,2001-03-27,1380/01/07,ok,"This is first observed trading date, not official IPO/listing date."
شبریز,48753732042176709,2010-11-13,1389/08/22,ok,"This is first observed trading date, not official IPO/listing date."
شبندر,35366681030756042,2012-06-24,1391/04/04,ok,"This is first observed trading date, not official IPO/listing date."
شدوص,40611478183231802,2001-03-28,1380/01/08,ok,"This is first observed trading date, not official IPO/listing date."
شغدیر,,,,ambiguous,Multiple instruments matched symbol 'شغدیر'
شفارس,43781018754867729,2001-04-24,1380/02/04,ok,"This is first observed trading date, not official IPO/listing date."
شلعاب,39116664428676213,2001-03-28,1380/01/08,ok,"This is first observed trading date, not official IPO/listing date."
شپارس,61102694810476197,2003-09-02,1382/06/11,ok,"This is first observed trading date, not official IPO/listing date."
شپنا,7745894403636165,2008-06-29,1387/04/09,ok,"This is first observed trading date, not official IPO/listing date."
شکربن,27308217070238237,2001-03-25,1380/01/05,ok,"This is first observed trading date, not official IPO/listing date."
شکلر,62177651435283872,2003-11-15,1382/08/24,ok,"This is first observed trading date, not official IPO/listing date."
شیران,35796086458096255,2001-03-28,1380/01/08,ok,"This is first observed trading date, not official IPO/listing date."
غبهنوش,17059960254855208,2001-03-28,1380/01/08,ok,"This is first observed trading date, not official IPO/listing date."
غدام,2254054929817435,2001-05-26,1380/03/05,ok,"This is first observed trading date, not official IPO/listing date."
غسالم,28672095850798501,2002-02-16,1380/11/27,ok,"This is first observed trading date, not official IPO/listing date."
غشان,31791737198597563,2005-06-13,1384/03/23,ok,"This is first observed trading date, not official IPO/listing date."
غشهد,20487994977117557,2001-03-25,1380/01/05,ok,"This is first observed trading date, not official IPO/listing date."
غنوش,48619517949257749,2001-03-28,1380/01/08,ok,"This is first observed trading date, not official IPO/listing date."
غگل,22299894048845903,2001-03-26,1380/01/06,ok,"This is first observed trading date, not official IPO/listing date."
فاذر,38547060135156069,2001-04-25,1380/02/05,ok,"This is first observed trading date, not official IPO/listing date."
فارس,25244329144808274,2013-04-16,1392/01/27,ok,"This is first observed trading date, not official IPO/listing date."
فایرا,65004959184388996,2002-12-21,1381/09/30,ok,"This is first observed trading date, not official IPO/listing date."
فباهنر,66772024744156373,2001-04-15,1380/01/26,ok,"This is first observed trading date, not official IPO/listing date."
فجام,30765727085936322,2001-03-28,1380/01/08,ok,"This is first observed trading date, not official IPO/listing date."
فجر,41302553376174581,2004-08-16,1383/05/26,ok,"This is first observed trading date, not official IPO/listing date."
فخوز,28864540805361867,2007-08-07,1386/05/16,ok,"This is first observed trading date, not official IPO/listing date."
فرآور,408934423224097,2002-06-15,1381/03/25,ok,"This is first observed trading date, not official IPO/listing date."
فسرب,54277068923045214,2001-03-25,1380/01/05,ok,"This is first observed trading date, not official IPO/listing date."
فسپا,8977441217024425,2001-11-19,1380/08/28,ok,"This is first observed trading date, not official IPO/listing date."
فمراد,18004480270695404,2005-05-15,1384/02/25,ok,"This is first observed trading date, not official IPO/listing date."
فملی,35425587644337450,2007-02-04,1385/11/15,ok,"This is first observed trading date, not official IPO/listing date."
فنورد,56324206651661881,2001-03-28,1380/01/08,ok,"This is first observed trading date, not official IPO/listing date."
