unique_request_id,InsCode,ISIN,ticker,endpoint_date,occurrence_count,qTotCap,qTotTran5J,zTotTran,raw_close
UNQ0056,18004480270695404,IRO1ALMR0001,فمراد,2016-07-18,1,0.0,0.0,0.0,2466.0
UNQ0057,18004480270695404,IRO1ALMR0001,فمراد,2016-07-19,1,0.0,0.0,0.0,2466.0
UNQ0058,18004480270695404,IRO1ALMR0001,فمراد,2017-07-19,1,0.0,0.0,0.0,3167.0
UNQ0059,18004480270695404,IRO1ALMR0001,فمراد,2018-07-17,1,0.0,0.0,0.0,6263.0
UNQ0060,18004480270695404,IRO1ALMR0001,فمراد,2018-07-18,1,0.0,0.0,0.0,6263.0
UNQ0061,19257295292088310,IRO1INDM0001,خکمک,2015-07-19,2,0.0,0.0,0.0,1077.0
UNQ0062,19471788163911687,IRO1NSPS0001,کفپارس,2013-04-16,1,0.0,0.0,0.0,1285.0
UNQ0063,19471788163911687,IRO1NSPS0001,کفپارس,2014-04-16,1,0.0,0.0,0.0,3558.0
UNQ0064,19471788163911687,IRO1NSPS0001,کفپارس,2014-04-19,1,0.0,0.0,0.0,3558.0
UNQ0065,19471788163911687,IRO1NSPS0001,کفپارس,2015-04-18,2,0.0,0.0,0.0,4503.0
UNQ0066,19471788163911687,IRO1NSPS0001,کفپارس,2016-04-17,1,0.0,0.0,0.0,6918.0
UNQ0067,19471788163911687,IRO1NSPS0001,کفپارس,2016-04-18,1,0.0,0.0,0.0,6918.0
UNQ0068,19471788163911687,IRO1NSPS0001,کفپارس,2017-04-18,2,0.0,0.0,0.0,4850.0
UNQ0069,19471788163911687,IRO1NSPS0001,کفپارس,2018-04-17,1,0.0,0.0,0.0,2702.0
UNQ0070,19471788163911687,IRO1NSPS0001,کفپارس,2018-04-18,1,0.0,0.0,0.0,2702.0
UNQ0071,20487994977117557,IRO1SHAD0001,غشهد,2014-07-16,1,0.0,0.0,0.0,2337.0
UNQ0072,20487994977117557,IRO1SHAD0001,غشهد,2014-07-20,1,0.0,0.0,0.0,2337.0
UNQ0073,20487994977117557,IRO1SHAD0001,غشهد,2015-07-19,2,0.0,0.0,0.0,2115.0
UNQ0074,20487994977117557,IRO1SHAD0001,غشهد,2017-07-18,1,0.0,0.0,0.0,2594.0
UNQ0075,20487994977117557,IRO1SHAD0001,غشهد,2017-07-19,1,0.0,0.0,0.0,2594.0
