fold,model,n_val,pos_val,pr_auc,roc_auc,brier,log_loss
1,logistic,78,5,0.1544541910331384,0.6301369863013698,0.21746815660954835,0.6274586412233248
2,logistic,84,6,0.48387672898616807,0.8205128205128205,0.15931935689784668,0.495567473890808
3,logistic,97,10,0.5240046956471639,0.82183908045977,0.1397066239580201,0.4430103468731383
1,random_forest,78,5,0.10497519050150628,0.6328767123287671,0.17675711777529846,0.5344057680980759
2,random_forest,84,6,0.6029341029341029,0.8183760683760684,0.11280195466306557,0.3906682142857435
3,random_forest,97,10,0.6996747354279115,0.9160919540229885,0.08124813207854999,0.30129813397407496
1,xgboost,78,5,0.27384384384384386,0.7767123287671233,0.21566615998744965,0.6241369843482971
2,xgboost,84,6,0.7096574858757061,0.8290598290598291,0.07317548990249634,0.2829490303993225
3,xgboost,97,10,0.7901587995337995,0.9218390804597701,0.09341000765562057,0.34658336639404297
