model,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,brier_mean,brier_std
logistic,0.3874452052221568,0.20277123303542596,0.7574962957579867,0.11029839083282882,0.17216471248847173,0.040440899597633514
random_forest,0.46919467628784023,0.31911058093343075,0.7891149115759414,0.14385715051724152,0.123602401505638,0.048661882682494426
xgboost,0.5912200430844498,0.27778742638657944,0.8425370794289075,0.07349605923005607,0.12741721918185553,0.07709257806142766
