model,seed,pr_auc,roc_auc,brier,recall,precision,f1,balanced_accuracy,mcc
random_forest,1000,0.6628785206562983,0.8807446189645142,0.07127817893645559,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8150087260034904,0.5297830251067923
random_forest,1001,0.6609181300002556,0.8720186154741129,0.07161763333864792,0.6666666666666666,0.42857142857142855,0.5217391304347826,0.8123909249563699,0.5076283319034773
random_forest,1002,0.6022792022792023,0.8662012798138452,0.07123508922677536,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8150087260034904,0.5297830251067923
random_forest,1003,0.6430022930163182,0.8737638161721931,0.07165077715878207,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8150087260034904,0.5297830251067923
random_forest,1004,0.6267067706426974,0.8702734147760326,0.07165842911681261,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8150087260034904,0.5297830251067923
random_forest,1005,0.6242495341709032,0.8714368819080861,0.07050830432985364,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8150087260034904,0.5297830251067923
random_forest,1006,0.6312739112739112,0.866783013379872,0.07298774789732972,0.6666666666666666,0.42857142857142855,0.5217391304347826,0.8123909249563699,0.5076283319034773
random_forest,1007,0.6302459532108006,0.873763816172193,0.07116992555668018,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8150087260034904,0.5297830251067923
random_forest,1008,0.6339641629847815,0.8685282140779522,0.07136944675328191,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8150087260034904,0.5297830251067923
random_forest,1009,0.6413982783671903,0.869109947643979,0.07156363025072816,0.6666666666666666,0.5,0.5714285714285714,0.8176265270506108,0.5545173669325846
random_forest,1010,0.641452533311172,0.8702734147760325,0.06945783905510945,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8150087260034904,0.5297830251067923
random_forest,1011,0.591431813290452,0.8679464805119255,0.07092021967521435,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8150087260034904,0.5297830251067923
random_forest,1012,0.6328599531849195,0.8685282140779522,0.07062313850027349,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8150087260034904,0.5297830251067923
random_forest,1013,0.6152685992892178,0.866783013379872,0.07135232119830383,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8150087260034904,0.5297830251067923
random_forest,1014,0.6519889601139602,0.8691099476439791,0.07212541537957226,0.6666666666666666,0.5,0.5714285714285714,0.8176265270506108,0.5545173669325846
random_forest,1015,0.6224483276402997,0.8685282140779522,0.07266756533817527,0.6666666666666666,0.4,0.5,0.8097731239092496,0.4876185017171
random_forest,1016,0.6596296296296296,0.8789994182664339,0.07188402666609933,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8150087260034904,0.5297830251067923
random_forest,1017,0.6265834635523755,0.8685282140779522,0.07063565460032416,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8150087260034904,0.5297830251067923
random_forest,1018,0.6090010341930061,0.8685282140779522,0.07164725584826734,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8150087260034904,0.5297830251067923
random_forest,1019,0.655981667286015,0.869109947643979,0.07148297018805229,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8150087260034904,0.5297830251067923
random_forest,1020,0.6546800465386853,0.8708551483420592,0.07176073935497668,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8150087260034904,0.5297830251067923
random_forest,1021,0.6138282433678853,0.8720186154741129,0.07222341703314812,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8150087260034904,0.5297830251067923
random_forest,1022,0.6430904298046136,0.8755090168702734,0.07113685333981644,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8150087260034904,0.5297830251067923
random_forest,1023,0.6406706403070568,0.8696916812100057,0.07144517333647084,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8150087260034904,0.5297830251067923
random_forest,1024,0.6511848496926638,0.869109947643979,0.07214354456161276,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8150087260034904,0.5297830251067923
random_forest,1025,0.647604410839705,0.8726003490401396,0.07099270453607538,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8150087260034904,0.5297830251067923
random_forest,1026,0.6747208129561071,0.8755090168702734,0.0710457954826664,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8150087260034904,0.5297830251067923
random_forest,1027,0.6166361206567392,0.8673647469458987,0.0728841266478606,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8150087260034904,0.5297830251067923
random_forest,1028,0.641564524799819,0.8726003490401396,0.07192114784175356,0.6666666666666666,0.42857142857142855,0.5217391304347826,0.8123909249563699,0.5076283319034773
random_forest,1029,0.5904603149999569,0.871436881908086,0.07077702685724785,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.8150087260034904,0.5297830251067923
xgboost,1000,0.620691508926803,0.8679464805119255,0.053221359848976135,0.7777777777777778,0.3684210526315789,0.5,0.8574752763234439,0.5054728766997295
xgboost,1001,0.628466116354315,0.8632926119837114,0.049477718770504,0.7777777777777778,0.3888888888888889,0.5185185185185185,0.8600930773705643,0.5216878951459915
xgboost,1002,0.609972069330708,0.8673647469458987,0.04889504984021187,0.7777777777777778,0.4375,0.56,0.8653286794648052,0.558319502361553
xgboost,1003,0.6175223640429826,0.8609656777196043,0.050528984516859055,0.7777777777777778,0.3888888888888889,0.5185185185185185,0.8600930773705643,0.5216878951459915
xgboost,1004,0.5901615901615902,0.8696916812100058,0.04959552735090256,0.7777777777777778,0.4117647058823529,0.5384615384615384,0.8627108784176847,0.539235541959073
xgboost,1005,0.5501793641328525,0.8632926119837114,0.050239600241184235,0.7777777777777778,0.4117647058823529,0.5384615384615384,0.8627108784176847,0.539235541959073
xgboost,1006,0.60918075805435,0.8667830133798721,0.04978641867637634,0.7777777777777778,0.4117647058823529,0.5384615384615384,0.8627108784176847,0.539235541959073
xgboost,1007,0.5256544703133866,0.8598022105875509,0.04984600841999054,0.7777777777777778,0.4117647058823529,0.5384615384615384,0.8627108784176847,0.539235541959073
xgboost,1008,0.617394071649391,0.8662012798138453,0.051505137234926224,0.7777777777777778,0.3684210526315789,0.5,0.8574752763234439,0.5054728766997295
xgboost,1009,0.6102772942979129,0.8644560791157649,0.05001027509570122,0.7777777777777778,0.4375,0.56,0.8653286794648052,0.558319502361553
xgboost,1010,0.612956057614974,0.8621291448516579,0.05149071291089058,0.7777777777777778,0.4117647058823529,0.5384615384615384,0.8627108784176847,0.539235541959073
xgboost,1011,0.5993080993080993,0.8603839441535777,0.051391564309597015,0.7777777777777778,0.4117647058823529,0.5384615384615384,0.8627108784176847,0.539235541959073
xgboost,1012,0.6062009419152276,0.8638743455497382,0.04928083345293999,0.7777777777777778,0.4117647058823529,0.5384615384615384,0.8627108784176847,0.539235541959073
xgboost,1013,0.5618103724486704,0.8650378126817918,0.048779603093862534,0.7777777777777778,0.4375,0.56,0.8653286794648052,0.558319502361553
xgboost,1014,0.5844932844932844,0.8598022105875509,0.04946453869342804,0.7777777777777778,0.4375,0.56,0.8653286794648052,0.558319502361553
xgboost,1015,0.6304127585377586,0.8679464805119255,0.04885084554553032,0.7777777777777778,0.3888888888888889,0.5185185185185185,0.8600930773705643,0.5216878951459915
xgboost,1016,0.5557068696603581,0.8685282140779522,0.049011457711458206,0.7777777777777778,0.4375,0.56,0.8653286794648052,0.558319502361553
xgboost,1017,0.5741544199453543,0.8667830133798718,0.05051083862781525,0.7777777777777778,0.4117647058823529,0.5384615384615384,0.8627108784176847,0.539235541959073
xgboost,1018,0.6242346447664322,0.8720186154741127,0.04957295581698418,0.7777777777777778,0.4666666666666667,0.5833333333333334,0.8679464805119255,0.5791900513353347
xgboost,1019,0.5872105592535699,0.871436881908086,0.05096051096916199,0.7777777777777778,0.4375,0.56,0.8653286794648052,0.558319502361553
xgboost,1020,0.6050071152908033,0.8667830133798721,0.0480228029191494,0.7777777777777778,0.4375,0.56,0.8653286794648052,0.558319502361553
xgboost,1021,0.6086474867724868,0.8632926119837114,0.04973635822534561,0.7777777777777778,0.4117647058823529,0.5384615384615384,0.8627108784176847,0.539235541959073
xgboost,1022,0.5592135012919897,0.8650378126817917,0.05027133971452713,0.7777777777777778,0.4375,0.56,0.8653286794648052,0.558319502361553
xgboost,1023,0.6135601539693611,0.866783013379872,0.04936769977211952,0.7777777777777778,0.4117647058823529,0.5384615384615384,0.8627108784176847,0.539235541959073
xgboost,1024,0.617777069950983,0.8662012798138453,0.05132579803466797,0.7777777777777778,0.3888888888888889,0.5185185185185185,0.8600930773705643,0.5216878951459915
xgboost,1025,0.6305323331639121,0.8673647469458988,0.049442097544670105,0.7777777777777778,0.4117647058823529,0.5384615384615384,0.8627108784176847,0.539235541959073
xgboost,1026,0.6052130422688798,0.8621291448516579,0.05030181258916855,0.7777777777777778,0.4117647058823529,0.5384615384615384,0.8627108784176847,0.539235541959073
xgboost,1027,0.5707877090230031,0.8679464805119256,0.049644384533166885,0.7777777777777778,0.4375,0.56,0.8653286794648052,0.558319502361553
xgboost,1028,0.6308671948206832,0.8650378126817917,0.04938986152410507,0.7777777777777778,0.4117647058823529,0.5384615384615384,0.8627108784176847,0.539235541959073
xgboost,1029,0.6404771707760838,0.8662012798138452,0.050457850098609924,0.7777777777777778,0.4117647058823529,0.5384615384615384,0.8627108784176847,0.539235541959073
