row_key,ticker,company_name,fiscal_year,registered_capital,accumulated_loss,equity,operating_cash_flow,total_liabilities,total_assets,net_income,leverage_ratio_used,accumulated_loss_ratio_used,fd_article141_direct,fd_accumulated_loss,fd_negative_equity,fd_ocf_high_leverage,persistent_loss_flag,FD_target_main,FD_target_article141_only,FD_target_persistent_loss_robustness,positive_target_reasons,target_missing_reason,distressed_target_reviewed,target_status_reviewed,distressed_flag_source_reviewed,ocf_resolution_status,statement_scope_status,non_12_month_period_flag,audit_status_clean,data_quality_flag,source_file,industry,prior_distressed_target_reviewed,target_changed_vs_prior,change_reason
اردستان|1395,اردستان,شرکت سیمان اردستان,1395,,,,,,,,,,missing,missing,missing,missing,missing,missing,missing,missing,,missing_accumulated_loss_and_capital & missing_equity & missing_ocf_and_leverage,,unresolved_missing_target_inputs,unresolved_missing_target_inputs,pre_listing_missing_excluded,statement_scope_unknown,0,audit_status_unknown,,,سیمان، آهک و گچ,missing,0,
اردستان|1396,اردستان,شرکت سیمان اردستان,1396,,,,,,,,,,missing,missing,missing,missing,missing,missing,missing,missing,,missing_accumulated_loss_and_capital & missing_equity & missing_ocf_and_leverage,,unresolved_missing_target_inputs,unresolved_missing_target_inputs,pre_listing_missing_excluded,statement_scope_unknown,0,audit_status_unknown,,,سیمان، آهک و گچ,missing,0,
اردستان|1397,اردستان,شرکت سیمان اردستان,1397,405525.0,0.0,743696.0,495286.0,1273972.0,2017668.0,206938.0,0.631408,0.0,missing,0,0,0,missing,0,0,missing,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audited_indicated,,اردستان_۱۳۹۸_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده).xlsx,سیمان، آهک و گچ,0,0,
اردستان|1398,اردستان,شرکت سیمان اردستان,1398,567735.0,0.0,1206775.0,372489.0,1075905.0,2282680.0,544183.0,0.471334,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audited_indicated,,اردستان_۱۳۹۸_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده).xlsx,سیمان، آهک و گچ,0,0,
اروند|1394,اروند,شرکت پتروشیمی اروند,1394,400000.0,9838054.0,-9438054.0,479422.0,37982491.0,28544437.0,-3021832.0,1.330644,24.595135,missing,1,1,0,missing,1,1,1,accumulated_loss | negative_equity,,1,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audit_status_unknown,,file_0.xlsx,محصولات شیمیایی,1,0,
اروند|1395,اروند,شرکت پتروشیمی اروند,1395,400000.0,9726611.0,-9326611.0,445404.0,39752905.0,30426294.0,111443.0,1.306531,24.316528,missing,1,1,0,0,1,1,1,accumulated_loss | negative_equity,,1,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audit_status_unknown,,file_0.xlsx,محصولات شیمیایی,1,0,
اروند|1396,اروند,شرکت پتروشیمی اروند,1396,400000.0,7912382.0,-7512382.0,657983.0,44277159.0,36764777.0,2295886.0,1.204336,19.780955,missing,1,1,0,0,1,1,1,accumulated_loss | negative_equity,,1,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audit_status_unknown,,file_1.xlsx,محصولات شیمیایی,1,0,
اروند|1398,اروند,شرکت پتروشیمی اروند,1398,4000000.0,0.0,18249300.0,2187303.0,41258678.0,59507978.0,12724652.0,0.69333,0.0,missing,0,0,0,missing,0,0,missing,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audit_status_unknown,,file_2.xlsx,محصولات شیمیایی,0,0,
اروند|1399,اروند,شرکت پتروشیمی اروند,1399,12000000.0,0.0,54492939.0,31017631.0,25256333.0,79749272.0,34243639.0,0.316697,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate,0,audited,source_rechecked_arvand_1399_1400; user_confirmed_correct_source; audited_pdf; balance_corrected,"Archive(4).zip: 1.pdf, 2.pdf, 3.pdf, 4.pdf, 5.pdf, 6.pdf",محصولات شیمیایی,0,0,
اروند|1400,اروند,شرکت پتروشیمی اروند,1400,12000000.0,0.0,81920626.0,103302201.0,58331046.0,140251672.0,67027687.0,0.415903,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate,0,audited,source_rechecked_arvand_1399_1400; user_confirmed_correct_source; audited_pdf; balance_corrected,"Archive(4).zip: 7.pdf, 8.pdf, 9.pdf, 10.pdf, 11.pdf, 13.pdf",محصولات شیمیایی,0,0,
بالبر|1393,بالبر,کابل البرز,1393,114000.0,21669.0,94831.0,107154.0,1044119.0,1138950.0,4426.0,0.916738,0.190079,missing,0,0,0,missing,0,0,missing,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audited_indicated,,بالبر_۱۳۹۳_۰۶_۳۱_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۰۶_۳۱ (حسابرسی شده).xlsx,نامشخص در فایل ارسالی,0,0,
بالبر|1394,بالبر,کابل البرز,1394,114000.0,23859.0,92641.0,20324.0,957816.0,1050457.0,1065.0,0.911809,0.209289,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audited_indicated,,بالبر_۱۳۹۴_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۴_۰۶_۳۱ (حسابرسی شده).xlsx,نامشخص در فایل ارسالی,0,0,
بالبر|1395,بالبر,کابل البرز,1395,114000.0,20555.0,255512.0,186343.0,838446.0,1093958.0,27530.0,0.766433,0.180307,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audited_indicated,,بالبر_۱۳۹۵_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۵_۰۶_۳۱ (حسابرسی شده).xlsx,نامشخص در فایل ارسالی,0,0,
