validation_window,target_years,validation_rows,validation_positive,positive_evaluable_in_m3_lag_wdi_common_sample,minimum_positive_required,meets_positive_floor
fold1_validation,1396;1397,159,18,18,5,True
fold2_validation,1398;1399,207,10,10,5,True
