row_key,ticker,company_name,industry,fiscal_year,fiscal_year_end,unit,total_assets,total_liabilities,equity,registered_capital,accumulated_loss,current_assets,current_liabilities,revenue_period_adjusted,gross_profit_period_adjusted,operating_profit_period_adjusted,net_income_period_adjusted,operating_cash_flow_period_adjusted,financial_expense_period_adjusted,leverage_ratio,current_ratio,roa_period_adjusted,roe_period_adjusted,equity_ratio,ocf_to_assets_period_adjusted,financial_expense_to_assets_period_adjusted,profit_margin_period_adjusted,operating_margin_period_adjusted,gross_margin_period_adjusted,net_margin_period_adjusted,financial_expense_to_revenue_period_adjusted,asset_turnover_period_adjusted,revenue_growth_period_adjusted,net_income_growth_period_adjusted,sales_growth_period_adjusted,accumulated_loss_to_capital_ratio,debt_to_equity,loss_dummy,equity_negative_dummy,distressed_target_reviewed,usable_for_model_flag,target_status_reviewed,distressed_flag_source_reviewed,data_quality_flag,audit_status_clean,statement_scope_status,non_12_month_period_flag,exclusion_flag,manual_review_required_clean,source_file,source_url,ocf_resolution_status,gross_profit_resolution_status,log_total_assets,gross_profit_period_adjusted_signedlog,predictor_year,target_year,target_next_year,split,cv_val_fold
برکت|1394,برکت,گروه دارویی برکت,مواد و محصولات دارویی / هلدینگ دارویی,1394,1394/12/29,میلیون ریال,10171085.0,5520322.0,4650763.0,3400000.0,0.0,1987855.0,3264261.0,1183861.0,,1086290.0,908608.0,-253909.0,-191583.0,0.5427466194609523,0.6089755077795557,0.0893324556819651,0.1953675128145639,0.4572533805390477,-0.0249638067128531,-0.0188360435489429,0.7674955083409285,0.917582385094196,,0.7674955083409285,-0.1618289647179863,0.1163947602443593,0.1020164428243231,0.0485979194412451,0.1020164428243231,0.0,1.186971256114319,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,ok,audit_status_unknown,separate_or_parent_only_indicated,0,0,0,بركت_۱۳۹۴_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۴_۱۲_۲۹ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved,16.135059546984433,,1394,1395,0,dev,2
برکت|1395,برکت,گروه دارویی برکت,مواد و محصولات دارویی / هلدینگ دارویی,1395,1395/12/30,میلیون ریال,10743900.0,5896175.0,4847725.0,3400000.0,0.0,1730713.0,4096996.0,1311930.0,,1228781.0,1046962.0,523331.0,-184292.0,0.5487928033581846,0.4224346325942227,0.0974471095226128,0.2159697590106699,0.4512071966418154,0.0487095933506454,-0.0171531752901646,0.7980319071901703,0.9366208562956864,,0.7980319071901703,-0.140473958214234,0.1221092899226537,0.1081790852135512,0.1522702859759104,0.1081790852135512,0.0,1.216276707115193,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,ok,audit_status_unknown,separate_or_parent_only_indicated,0,0,0,بركت_۱۳۹۵_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۵_۱۲_۳۰ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved,16.189848802697487,,1395,1396,0,dev,3
برکت|1396,برکت,گروه دارویی برکت,مواد و محصولات دارویی / هلدینگ دارویی,1396,1396/12/29,میلیون ریال,11369032.0,6622786.0,4746246.0,3400000.0,0.0,1565378.0,2592608.0,644148.0,,542680.0,619321.0,300167.0,-176234.0,0.5825285741125542,0.6037850689344475,0.0544743826915079,0.1304864939575403,0.4174714258874458,0.0264021598320771,-0.0155012317671372,0.9614576153306384,0.8424771946819675,,0.9614576153306384,-0.2735924042300838,0.0566581218172312,-0.5090073403306579,-0.4084589507546596,-0.5090073403306579,0.0,1.395373522569205,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,ok,audit_status_unknown,separate_or_parent_only_indicated,0,0,0,بركت_۱۳۹۶_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved,16.24640381373699,,1396,1397,0,test,
برکت|1397,برکت,گروه دارویی برکت,مواد و محصولات دارویی / هلدینگ دارویی,1397,1397/12/29,میلیون ریال,11645928.0,6903657.0,4742271.0,3400000.0,0.0,1383101.0,2544727.0,583666.0,,462553.0,370025.0,-64139.0,-196050.0,0.5927957823541413,0.5435164557927039,0.0317729080928544,0.0780269621875257,0.4072042176458587,-0.0055074185586584,-0.0168342102063485,0.6339670290885541,0.7924960508235874,,0.6339670290885541,-0.3358941586455267,0.0501176033374068,-0.0938945708129187,-0.4025311591242667,-0.0938945708129187,0.0,1.455770241725958,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,ok,audit_status_unknown,separate_or_parent_only_indicated,0,0,0,بركت_۱۳۹۷_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۱۲_۲۹ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved,16.270467234846794,,1397,1398,0,test,
برکت|1398,برکت,گروه دارویی برکت,مواد و محصولات دارویی / هلدینگ دارویی,1398,1398/12/29,میلیون ریال,14098499.0,5162705.0,8935794.0,5800000.0,0.0,3210199.0,1193031.0,2226503.0,,2115406.0,1963523.0,628347.0,-204367.0,0.3661882729501914,2.690792611424179,0.1392717763784641,0.2197368247298449,0.6338117270498086,0.0445683614972061,-0.0144956565943651,0.8818865278870048,0.95010247010671,,0.8818865278870048,-0.0917883335436781,0.1579248258981328,2.8146868243139056,4.306460374299034,2.8146868243139056,0.0,0.577755597320171,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,ok,audit_status_unknown,separate_or_parent_only_indicated,0,0,0,بركت_۱۳۹۸_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved,16.461578966710604,,1398,1399,0,unused_no_positive_post_test,
برکت|1399,برکت,گروه دارویی برکت,مواد و محصولات دارویی / هلدینگ دارویی,1399,1399/12/30,میلیون ریال,21698452.0,12125240.0,9573212.0,5800000.0,0.0,5166883.0,5172199.0,2688856.0,,2558079.0,2377418.0,288995.0,-195073.0,0.5588066835366873,0.9989721973187806,0.1095662492421118,0.2483406823122688,0.4411933164633127,0.0133186920431005,-0.0089901804976686,0.8841745337050404,0.951363330725037,,0.8841745337050404,-0.0725486972898511,0.12391925470075,0.2076588264197263,0.2107920304473133,0.2076588264197263,0.0,1.266580119608758,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,ok,audit_status_unknown,separate_or_parent_only_indicated,0,1,1,بركت_۱۳۹۹_۱۲_۳۰_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved,16.892751525646833,,1399,1400,0,unused_no_positive_post_test,
برکت|1400,برکت,گروه دارویی برکت,مواد و محصولات دارویی / هلدینگ دارویی,1400,1400/12/29,میلیون ریال,42363429.0,18870382.0,23493047.0,7340000.0,0.0,20344484.0,13277360.0,14589218.0,,14355832.0,14211441.0,1444441.0,-118295.0,0.4454403820804969,1.532268764272416,0.3354648416208234,0.6049211496490855,0.5545596179195031,0.034096413677939,-0.0027923849129398,0.9741057402802537,0.984002843743921,,0.9741057402802537,-0.0081083852472421,0.344382368103394,4.4258085966671326,4.977678725407143,4.4258085966671326,0.0,0.8032326330424487,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,ok,audit_status_unknown,separate_or_parent_only_indicated,0,1,1,بركت_۱۴۰۰_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۰_۱۲_۲۹ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved,17.56179604803505,,1400,1401,0,unused_no_positive_post_test,
برکت|1401,برکت,گروه دارویی برکت,مواد و محصولات دارویی / هلدینگ دارویی,1401,1401/12/29,میلیون ریال,45948777.0,25658735.0,20290042.0,7340000.0,0.0,18006120.0,13128951.0,5354992.0,,5055217.0,8549443.0,2596208.0,-183520.0,0.5584204123648383,1.371482001875093,0.1860646475966052,0.4213615230564825,0.4415795876351616,0.0565022220286733,-0.0039940127242124,1.5965370256388804,0.9440195242121744,,1.5965370256388804,-0.0342708261749037,0.1165426448673487,-0.6329486611276903,-0.3984112518920495,-0.6329486611276903,0.0,1.264597431587377,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,ok,audit_status_unknown,separate_or_parent_only_indicated,0,1,1,بركت_۱۴۰۱_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۱_۱۲_۲۹ (حسابرسی شده).xlsx,,observed_or_verified,deferred_unresolved,17.64303781228829,,1401,1402,0,unused_no_positive_post_test,
بکاب|1393,بکاب,شرکت صنایع جوشکاب یزد,نامشخص در فایل ارسالی,1393,1393/06/31,میلیون ریال,150229.0,81045.0,69184.0,15400.0,0.0,80301.0,61152.0,104005.0,47270.0,33566.0,24773.0,5820.0,-3360.0,0.5394763993636382,1.313137755102041,0.1649015835823975,0.3580741211840888,0.4605236006363618,0.038740855627076,-0.0223658547950129,0.2381904716119417,0.3227344839190423,0.454497379933657,0.2381904716119417,-0.0323061391279265,0.6923097404628933,,,,0.0,1.17144137372803,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,ok,audited_indicated,separate_or_parent_only_indicated,0,1,1,بكاب_۱۳۹۳_۰۶_۳۱_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۰۶_۳۱ (حسابرسی شده).xlsx,,observed_or_verified,observed_or_verified,11.91992273205647,10.763652278630156,1393,1394,0,dev,1
بکاب|1394,بکاب,شرکت صنایع جوشکاب یزد,نامشخص در فایل ارسالی,1394,1394/06/31,میلیون ریال,160118.0,89733.0,70385.0,15400.0,0.0,96205.0,82076.0,98443.0,26786.0,12792.0,14876.0,1750.0,-2566.0,0.5604179417679461,1.172145328719723,0.0929064814699159,0.2113518505363358,0.4395820582320539,0.0109294395383404,-0.016025681060218,0.1511128267119043,0.1299432158711132,0.2720965431772701,0.1511128267119043,-0.0260658452099184,0.6148153236987721,-0.0534781981635498,-0.399507528357486,-0.0534781981635498,0.0,1.27488811536549,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,ok,audited_indicated,separate_or_parent_only_indicated,0,1,1,بكاب_۱۳۹۴_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۴_۰۶_۳۱ (حسابرسی شده).xlsx,,observed_or_verified,observed_or_verified,11.983672567770995,10.195671974185327,1394,1395,0,dev,2
بکاب|1395,بکاب,شرکت صنایع جوشکاب یزد,نامشخص در فایل ارسالی,1395,1395/06/31,میلیون ریال,151428.0,78175.0,73253.0,15400.0,0.0,55741.0,55226.0,76758.0,20739.0,7249.0,3908.0,7739.0,-2496.0,0.516251948120559,1.009325317785101,0.0258076445571492,0.0533493508798274,0.483748051879441,0.0511067966294212,-0.0164830810682304,0.0509132598556502,0.0944396675265119,0.2701868209176893,0.0509132598556502,-0.032517783162667,0.5068943656391156,-0.2202797557977713,-0.737294971766604,-0.2202797557977713,0.0,1.06719178736707,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,ok,audited_indicated,separate_or_parent_only_indicated,0,1,1,بكاب_۱۳۹۵_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۵_۰۶_۳۱ (حسابرسی شده).xlsx,,observed_or_verified,observed_or_verified,11.927872147217611,9.939819481783518,1395,1396,0,dev,3
بکاب|1396,بکاب,شرکت صنایع جوشکاب یزد,نامشخص در فایل ارسالی,1396,1396/06/31,میلیون ریال,155174.0,81885.0,73289.0,15400.0,0.0,61010.0,53448.0,100088.0,21111.0,7549.0,3810.0,9616.0,-2849.0,0.5276979390877338,1.141483310881604,0.0245530823462693,0.0519859733384273,0.4723020609122662,0.0619691443154136,-0.0183600345418691,0.0380665014786987,0.0754236272080569,0.2109243865398449,0.0380665014786987,-0.0284649508432579,0.6450049621714978,0.3039422600901534,-0.0250767656090071,0.3039422600901534,0.0,1.117289088403444,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,ok,audited_indicated,separate_or_parent_only_indicated,0,1,1,بكاب_۱۳۹۶_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۶_۰۶_۳۱ (حسابرسی شده).xlsx,,observed_or_verified,observed_or_verified,11.952308791281853,9.95759687818316,1396,1397,0,test,
بکاب|1397,بکاب,شرکت صنایع جوشکاب یزد,نامشخص در فایل ارسالی,1397,1397/06/31,میلیون ریال,183372.0,106410.0,76962.0,24100.0,0.0,99192.0,86969.0,105520.0,23371.0,7078.0,3387.0,2359.0,-2920.0,0.5802957921601989,1.140544331888374,0.018470649826582,0.0440087315818196,0.4197042078398011,0.0128645594747289,-0.0159239142289989,0.032098180439727,0.0670773313115997,0.2214840788476118,0.032098180439727,-0.0276724791508718,0.5754422703575246,0.0542722404284229,-0.1110236220472441,0.0542722404284229,0.0,1.382630389023154,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,نسخه اصلاحیه مبنا قرار گرفت.,audited_indicated,separate_or_parent_only_indicated,0,0,0,بكاب_۱۳۹۷_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۷_۰۶_۳۱ (حسابرسی شده)(اصلاحیه).xlsx,,observed_or_verified,observed_or_verified,12.119277608773672,10.059294003674328,1397,1398,0,test,
بکاب|1398,بکاب,شرکت صنایع جوشکاب یزد,نامشخص در فایل ارسالی,1398,1398/06/31,میلیون ریال,212088.0,110329.0,101759.0,24100.0,0.0,164485.0,99012.0,206386.0,45080.0,24397.0,17435.0,11350.0,-3988.0,0.5202038776356984,1.661263281218438,0.0822064426087284,0.1713361963069605,0.4797961223643016,0.053515521858851,-0.0188035155218588,0.0844776292965608,0.1182105375364608,0.2184256684077408,0.0844776292965608,-0.019323016096053,0.9731149334238618,0.9558946171341924,4.147623265426631,0.9558946171341924,0.0,1.084218594915437,0,0,0,1,complete_canonical_stage106,canonical_formula_stage106,داده از ستون تجدید ارائه‌شده دوره 1398/06/31 در گزارش 1399 استخراج شد، چون فایل مستقیم 1398 ناقص بود.,audited_indicated,separate_or_parent_only_indicated,0,0,0,بكاب_۱۳۹۹_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۹_۰۶_۳۱ (حسابرسی شده).xlsx,,observed_or_verified,observed_or_verified,12.264761276878787,10.716216150693835,1398,1399,0,unused_no_positive_post_test,
