model,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,brier_mean,brier_std,brier_min,brier_max,recall_mean,recall_std,recall_min,recall_max,precision_mean,precision_std,precision_min,precision_max,f1_mean,f1_std,f1_min,f1_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,mcc_mean,mcc_std,mcc_min,mcc_max
random_forest,0.6346,0.0209,0.5905,0.6747,0.8709,0.0035,0.8662,0.8807,0.0715,0.0007,0.0695,0.073,0.6667,0.0,0.6667,0.6667,0.4588,0.0184,0.4,0.5,0.5433,0.0131,0.5,0.5714,0.8147,0.0014,0.8098,0.8176,0.5278,0.0123,0.4876,0.5545
xgboost,0.5999,0.0282,0.5257,0.6405,0.8655,0.0032,0.8598,0.872,0.05,0.0011,0.048,0.0532,0.7778,0.0,0.7778,0.7778,0.4154,0.0223,0.3684,0.4667,0.5412,0.019,0.5,0.5833,0.863,0.0024,0.8575,0.8679,0.5417,0.0168,0.5055,0.5792
