ticker,fiscal_year_t,target_year,temporal_folds,pair_cutoff_date,window_start_calendar_date,window_first_trading_date,window_last_trading_date,t_star,window_trading_day_count,usable_daily_return_count,usable_amihud_day_count,missing_price_day_count,zero_traded_value_day_count,d2_start_trading_date,d2_end_trading_date,d2_effective_span_days,d2_status,equity_return_d2,d2_no_start_boundary_price,d2_no_end_boundary_price,d2_start_adjusted_close_is_zero,fewer_than_126_valid_returns,realized_volatility,amihud_illiquidity,equity_return_window_d0_historical,in_three_variable_common_sample,m2_value_status
بموتو,1397,1398,fold2_validation,2019-01-20,2018-01-19,2018-01-20,2019-01-19,2019-01-19,243,217,217,17,17,2018-01-20,2019-01-19,364,OBSERVED_COMPLETE,1.0784313725490198,False,False,False,False,0.018239384603550922,1.7567462354977515e-11,1.0784313725490198,True,OBSERVED_COMPLETE
بموتو,1398,1399,fold2_validation,2020-01-20,2019-01-19,2019-01-19,2020-01-19,2020-01-19,240,228,228,7,7,2019-01-19,2020-01-19,365,OBSERVED_COMPLETE,3.4716981132075473,False,False,False,False,0.029072095441289556,4.622828297839604e-12,3.4716981132075473,True,OBSERVED_COMPLETE
بکاب,1393,1394,"fold1_train,fold2_train",2015-01-20,2014-01-19,2014-01-20,2015-01-19,2015-01-19,242,109,109,131,131,,2015-01-18,,UNAVAILABLE: usable_daily_return_count=109 < 126; no valid adjusted_close in start-boundary month,,True,False,False,True,,,,False,OBSERVED_INCOMPLETE: usable_daily_return_count=109 < 126; adjusted_close missing at window start t0; adjusted_close missing at window end T*; usable_amihud_day_count=109 < 126
بکاب,1394,1395,"fold1_train,fold2_train",2016-01-20,2015-01-19,2015-01-19,2016-01-19,2016-01-19,246,198,198,43,43,,2016-01-09,,UNAVAILABLE: no valid adjusted_close in start-boundary month,,True,False,False,False,0.029229104578519193,2.7493237959992516e-11,,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
بکاب,1395,1396,"fold1_validation,fold2_train",2017-01-19,2016-01-18,2016-01-18,2017-01-18,2017-01-18,246,226,226,17,17,2016-01-31,2017-01-11,346,OBSERVED_COMPLETE,0.4078212290502794,False,False,False,False,0.026052133299352305,3.166088112498491e-11,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
بکاب,1396,1397,"fold1_validation,fold2_train",2018-01-20,2017-01-17,2017-01-17,2018-01-17,2018-01-17,245,227,227,13,13,2017-01-24,2018-01-17,358,OBSERVED_COMPLETE,-0.03765690376569042,False,False,False,False,0.024638379105291,4.8581183741388864e-11,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
بکاب,1397,1398,fold2_validation,2019-01-20,2018-01-19,2018-01-20,2019-01-19,2019-01-19,243,225,225,11,11,2018-01-20,2019-01-19,364,OBSERVED_COMPLETE,0.09282700421940926,False,False,False,False,0.02794401544008905,4.661350936683336e-11,0.09282700421940926,True,OBSERVED_COMPLETE
بکاب,1398,1399,fold2_validation,2020-01-20,2019-01-19,2019-01-19,2020-01-19,2020-01-19,240,225,225,11,11,2019-01-19,2020-01-18,364,OBSERVED_COMPLETE,6.277992277992278,False,False,False,False,0.03423327173992217,1.3095501335128006e-11,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
بکام,1393,1394,"fold1_train,fold2_train",2015-07-20,2014-07-19,2014-07-20,2015-07-19,2015-07-19,241,216,216,21,21,2014-07-20,2015-07-11,356,OBSERVED_COMPLETE,0.08955223880597019,False,False,False,False,0.027178368230227318,1.9873094718959094e-11,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
بکام,1394,1395,"fold1_train,fold2_train",2016-07-19,2015-07-18,2015-07-19,2016-07-18,2016-07-18,247,214,214,28,28,,2016-07-18,,UNAVAILABLE: no valid adjusted_close in start-boundary month,,True,False,False,False,0.02898254702581693,7.115804684152636e-12,,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
