ticker,fiscal_year_t,pair_cutoff_date,t0_trading_date,tN_trading_date,window_trading_day_count,usable_daily_return_count,d0_equity_return_window_usable,realized_volatility_usable,amihud_illiquidity_usable,in_three_variable_common_sample,m2_value_status
خکمک,1393,2015-07-20,2014-07-20,2015-07-19,241,224,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
ددام,1393,2015-07-20,2014-07-20,2015-07-19,241,205,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
دروز,1393,2015-07-20,2014-07-20,2015-07-19,241,97,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=97 < 126; adjusted_close missing at window start t0; adjusted_close missing at window end T*; usable_amihud_day_count=97 < 126
دسبحا,1393,2015-07-20,2014-07-20,2015-07-19,241,223,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
دسینا,1393,2015-07-20,2014-07-20,2015-07-19,241,216,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
دشیمی,1393,2015-07-20,2014-07-20,2015-07-19,241,157,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
دیران,1393,2015-07-20,2014-07-20,2015-07-19,241,224,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
رانفور,1393,2015-07-20,2014-07-20,2015-07-19,241,233,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
زمگسا,1393,2015-07-20,2014-07-20,2015-07-19,241,196,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
ساراب,1393,2015-07-20,2014-07-20,2015-07-19,241,211,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
ساربیل,1393,2015-04-19,2014-04-19,2015-04-18,242,60,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=60 < 126; adjusted_close missing at window start t0; adjusted_close missing at window end T*; usable_amihud_day_count=60 < 126
ساروم,1393,2015-07-20,2014-07-20,2015-07-19,241,134,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
سبجنو,1393,2015-07-20,2014-07-20,2015-07-19,241,47,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=47 < 126; adjusted_close missing at window start t0; adjusted_close missing at window end T*; usable_amihud_day_count=47 < 126
