unique_request_id,request_type,InsCode,ISIN,ticker,endpoint_date,range_start_date,range_end_date,occurrence_count,evidence_reason,qTotCap,qTotTran5J,zTotTran,raw_close
UNQ0079,POINT_DATE,17834623106317041,IRO1MNSR0001,خنصیر,2017-07-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,3706.0
UNQ0080,POINT_DATE,17834623106317041,IRO1MNSR0001,خنصیر,2017-07-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,3706.0
UNQ0081,POINT_DATE,18004480270695404,IRO1ALMR0001,فمراد,2014-07-20,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,8680.0
UNQ0082,POINT_DATE,18004480270695404,IRO1ALMR0001,فمراد,2015-07-19,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2298.0
UNQ0083,POINT_DATE,18004480270695404,IRO1ALMR0001,فمراد,2016-07-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2466.0
UNQ0084,POINT_DATE,18004480270695404,IRO1ALMR0001,فمراد,2016-07-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2466.0
UNQ0085,POINT_DATE,18004480270695404,IRO1ALMR0001,فمراد,2017-07-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,3167.0
UNQ0086,POINT_DATE,18004480270695404,IRO1ALMR0001,فمراد,2018-07-17,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,6263.0
UNQ0087,POINT_DATE,18004480270695404,IRO1ALMR0001,فمراد,2018-07-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,6263.0
UNQ0088,POINT_DATE,19257295292088310,IRO1INDM0001,خکمک,2015-07-19,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,1077.0
UNQ0089,POINT_DATE,19471788163911687,IRO1NSPS0001,کفپارس,2013-04-16,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,1285.0
UNQ0090,POINT_DATE,19471788163911687,IRO1NSPS0001,کفپارس,2014-04-16,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,3558.0
UNQ0091,POINT_DATE,19471788163911687,IRO1NSPS0001,کفپارس,2014-04-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,3558.0
