ticker,ticker_normalized,company_name,n_panel_rows,current_prelisting_proxy_row_count,current_first_eligible_year_proxy,screening_public_entry_date_jalali,screening_public_entry_date_gregorian,screening_event_type,screening_date_precision,screening_source_type,screening_source_title,screening_source_url,screening_source_confidence,suspected_public_entry_after_1392,estimated_eligibility_rows_changed,estimated_t_plus_1_pairs_changed,tsetmc_instrument_match_status,tsetmc_ordinary_instrument_count,tsetmc_candidate_date,multiple_ordinary_instruments,tsetmc_conflict_flag,screening_status,priority_tier,priority_rank,selection_reason,selected_for_batch02_v2
حپترو,حپترو,حمل و نقل پتروشیمی,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,19,no_reliable_evidence_for_public_entry,1
حکشتی,حکشتی,کشتیرانی جمهوری اسلامی ایران,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,20,no_reliable_evidence_for_public_entry,1
خاذین,خاذین,سایپا آذین,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,21,no_reliable_evidence_for_public_entry,0
خبهمن,خبهمن,گروه بهمن,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,22,no_reliable_evidence_for_public_entry,0
ختوقا,ختوقا,گروه صنعتی قطعات اتومبیل ایران,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,23,no_reliable_evidence_for_public_entry,0
خرینگ,خرینگ,رینگ سازی مشهد,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,24,no_reliable_evidence_for_public_entry,0
خمحور,خمحور,تولید محور خودرو,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,25,no_reliable_evidence_for_public_entry,0
خمهر,خمهر,مهرکام پارس,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,26,no_reliable_evidence_for_public_entry,0
خنصیر,خنصیر,مهندسی نصیر ماشین,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,27,no_reliable_evidence_for_public_entry,0
خوساز,خوساز,محورسازان ایران خودرو,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,28,no_reliable_evidence_for_public_entry,0
خچرخش,خچرخش,چرخشگر,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,29,no_reliable_evidence_for_public_entry,0
خکمک,خکمک,کمک فنر ایندامین,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,30,no_reliable_evidence_for_public_entry,0
دروز,دروز,روز دارو,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,31,no_reliable_evidence_for_public_entry,0
دسبحا,دسبحا,گروه دارویی سبحان,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,32,no_reliable_evidence_for_public_entry,0
دیران,دیران,ایران دارو,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,33,no_reliable_evidence_for_public_entry,0
رانفور,رانفور,خدمات انفورماتیک,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,34,no_reliable_evidence_for_public_entry,0
رمپنا,رمپنا,گروه مپنا (سهامی عام),11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,35,no_reliable_evidence_for_public_entry,0
زمگسا,زمگسا,شرکت کشاورزی و دامپروری مگسال,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,36,no_reliable_evidence_for_public_entry,0
ساراب,ساراب,سیمان داراب,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,37,no_reliable_evidence_for_public_entry,0
ساربیل,ساربیل,شرکت سیمان آرتا اردبیل,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,38,no_reliable_evidence_for_public_entry,0
ساروم,ساروم,شرکت سیمان ارومیه,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,39,no_reliable_evidence_for_public_entry,0
سبجنو,سبجنو,شرکت سیمان بجنورد,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,40,no_reliable_evidence_for_public_entry,0
سبهان,سبهان,سیمان بهبهان,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,41,no_reliable_evidence_for_public_entry,0
ستران,ستران,شرکت سیمان تهران,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,42,no_reliable_evidence_for_public_entry,0
سخاش,سخاش,شرکت سیمان خاش,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,43,no_reliable_evidence_for_public_entry,0
سخزر,سخزر,سیمان خزر,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,44,no_reliable_evidence_for_public_entry,0
سخوز,سخوز,سیمان خوزستان,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,45,no_reliable_evidence_for_public_entry,0
سدشت,سدشت,سیمان دشتستان,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,46,no_reliable_evidence_for_public_entry,0
سدور,سدور,شرکت سیمان دورود,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,47,no_reliable_evidence_for_public_entry,0
سرود,سرود,سیمان شاهرود,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,48,no_reliable_evidence_for_public_entry,0
سشرق,سشرق,سیمان شرق,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,49,no_reliable_evidence_for_public_entry,0
سصفها,سصفها,شرکت سیمان اصفهان,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,50,no_reliable_evidence_for_public_entry,0
سغرب,سغرب,شرکت صنایع سیمان غرب,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,51,no_reliable_evidence_for_public_entry,0
سفارس,سفارس,سیمان فارس و خوزستان,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,52,no_reliable_evidence_for_public_entry,0
سقاین,سقاین,سیمان قاین,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,53,no_reliable_evidence_for_public_entry,0
سمازن,سمازن,سیمان مازندران,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,54,no_reliable_evidence_for_public_entry,0
سنیر,سنیر,شرکت سیمان سفید نی‌ریز,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,55,no_reliable_evidence_for_public_entry,0
سهگمت,سهگمت,سیمان هگمتان,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,56,no_reliable_evidence_for_public_entry,0
سپاها,سپاها,سیمان سپاهان,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,57,no_reliable_evidence_for_public_entry,0
سکرد,سکرد,سیمان کردستان,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,58,no_reliable_evidence_for_public_entry,0
سیلام,سیلام,سیمان ایلام,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,59,no_reliable_evidence_for_public_entry,0
شاراک,شاراک,شرکت پتروشیمی شازند,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,60,no_reliable_evidence_for_public_entry,0
شبریز,شبریز,پالایش نفت تبریز,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,61,no_reliable_evidence_for_public_entry,0
شبندر,شبندر,پالایش نفت بندرعباس,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,62,no_reliable_evidence_for_public_entry,0
شدوص,شدوص,شرکت دوده صنعتی پارس,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,63,no_reliable_evidence_for_public_entry,0
شغدیر,شغدیر,شرکت پتروشیمی غدیر,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,64,no_reliable_evidence_for_public_entry,0
شفارس,شفارس,شرکت صنایع شیمیایی فارس,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,65,no_reliable_evidence_for_public_entry,0
شلعاب,شلعاب,شرکت لعابیران,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,66,no_reliable_evidence_for_public_entry,0
شپارس,شپارس,شرکت بین‌المللی محصولات پارس,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,67,no_reliable_evidence_for_public_entry,0
شپنا,شپنا,پالایش نفت اصفهان,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,68,no_reliable_evidence_for_public_entry,0
شکربن,شکربن,شرکت کربن ایران,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,69,no_reliable_evidence_for_public_entry,0
شکلر,شکلر,شرکت نیروی کلر,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,70,no_reliable_evidence_for_public_entry,0
شیران,شیران,شرکت سرمایه‌گذاری صنایع شیمیایی ایران,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,71,no_reliable_evidence_for_public_entry,0
غبهنوش,غبهنوش,بهنوش ایران,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,72,no_reliable_evidence_for_public_entry,0
غدام,غدام,خوراک دام پارس,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,73,no_reliable_evidence_for_public_entry,0
غسالم,غسالم,سالمین,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,74,no_reliable_evidence_for_public_entry,0
غشان,غشان,شیر پاستوریزه پگاه خراسان,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,75,no_reliable_evidence_for_public_entry,0
غشهد,غشهد,شهد ایران,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,76,no_reliable_evidence_for_public_entry,0
غنوش,غنوش,نوش مازندران,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,77,no_reliable_evidence_for_public_entry,0
غگل,غگل,گلوکوزان,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,78,no_reliable_evidence_for_public_entry,0
