row_key,ticker,fiscal_year,fiscal_year_end,confirmed_public_entry_date_jalali,confirmed_public_entry_date_gregorian,eligible_listing_stage123_proxy,verification_status,listed_by_fiscal_year_end_verified,eligible_listing_financial_verified,listing_eligibility_status_verified,days_listed_before_fiscal_year_end,eligibility_changed_vs_stage123_proxy,change_direction
جم پیلن|1399,جم پیلن,1399,1399-12-30,1398-03-27,2019-06-17,1,verified_user_confirmed,1,1,eligible_verified_public_entry,642,0,unchanged_1
جم پیلن|1400,جم پیلن,1400,1400-12-29,1398-03-27,2019-06-17,1,verified_user_confirmed,1,1,eligible_verified_public_entry,1007,0,unchanged_1
جم پیلن|1401,جم پیلن,1401,1401-12-29,1398-03-27,2019-06-17,1,verified_user_confirmed,1,1,eligible_verified_public_entry,1372,0,unchanged_1
جم پیلن|1402,جم پیلن,1402,1402-12-29,1398-03-27,2019-06-17,1,verified_user_confirmed,1,1,eligible_verified_public_entry,1737,0,unchanged_1
کاوه|1393,کاوه,1393,1393-12-29,1396-07-26,2017-10-18,1,verified_user_confirmed,0,0,pre_listing_verified_public_entry,,1,proxy_1_to_verified_0
کاوه|1394,کاوه,1394,1394-12-29,1396-07-26,2017-10-18,1,verified_user_confirmed,0,0,pre_listing_verified_public_entry,,1,proxy_1_to_verified_0
کاوه|1395,کاوه,1395,1395-12-30,1396-07-26,2017-10-18,1,verified_user_confirmed,0,0,pre_listing_verified_public_entry,,1,proxy_1_to_verified_0
کاوه|1396,کاوه,1396,1396-12-29,1396-07-26,2017-10-18,1,verified_user_confirmed,1,1,eligible_verified_public_entry,153,0,unchanged_1
کاوه|1397,کاوه,1397,1397-12-29,1396-07-26,2017-10-18,1,verified_user_confirmed,1,1,eligible_verified_public_entry,518,0,unchanged_1
کاوه|1398,کاوه,1398,1398-12-29,1396-07-26,2017-10-18,1,verified_user_confirmed,1,1,eligible_verified_public_entry,883,0,unchanged_1
کاوه|1399,کاوه,1399,1399-12-30,1396-07-26,2017-10-18,1,verified_user_confirmed,1,1,eligible_verified_public_entry,1249,0,unchanged_1
کاوه|1400,کاوه,1400,1400-12-29,1396-07-26,2017-10-18,1,verified_user_confirmed,1,1,eligible_verified_public_entry,1614,0,unchanged_1
کاوه|1401,کاوه,1401,1401-12-29,1396-07-26,2017-10-18,1,verified_user_confirmed,1,1,eligible_verified_public_entry,1979,0,unchanged_1
کاوه|1402,کاوه,1402,1402-12-29,1396-07-26,2017-10-18,1,verified_user_confirmed,1,1,eligible_verified_public_entry,2344,0,unchanged_1
کیمیاتک|1399,کیمیاتک,1399,1399-12-30,1400-06-17,2021-09-08,1,verified_user_confirmed,0,0,pre_listing_verified_public_entry,,1,proxy_1_to_verified_0
کیمیاتک|1400,کیمیاتک,1400,1400-12-29,1400-06-17,2021-09-08,1,verified_user_confirmed,1,1,eligible_verified_public_entry,193,0,unchanged_1
