row_key,ticker,fiscal_year,source_file,source_url,previous_statement_scope,corrected_statement_scope,correction_basis,timestamp
فاذر|1402,فاذر,1402,فاذر_۱۴۰۲_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۲_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فسپا|1398,فسپا,1398,فسپا_۱۳۹۸_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فسپا|1399,فسپا,1399,فسپا_۱۳۹۹_۱۲_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فسپا|1400,فسپا,1400,فسپا_۱۴۰۰_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۰_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فسپا|1401,فسپا,1401,فسپا_۱۴۰۱_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۱_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فسپا|1402,فسپا,1402,فسپا_۱۴۰۲_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۲_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فخوز|1394,فخوز,1394,فخوز_۱۳۹۴_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۴_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فخوز|1395,فخوز,1395,فخوز_۱۳۹۵_۱۲_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۵_۱۲_۳۰ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فخوز|1396,فخوز,1396,فخوز_۱۳۹۶_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فخوز|1397,فخوز,1397,فخوز_۱۳۹۷_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۷_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فخوز|1398,فخوز,1398,فخوز_۱۳۹۸_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
