archive_edition_id,release_available_at_utc,economy_identity_verified,indicator_code_verified,archived_series_title_raw,title_compatibility,frequency_raw,frequency_annual_verified,unit_raw,unit_compatibility,calendar_year_semantics_verified,raw_archive_sha256,evidence_locator,compatibility_status,unresolved_reason,indicator_code,unit_evidence_source
WDI_2018_11_14,2018-11-15T00:00:00Z,True,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,Annual,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,True,37043431fb5f2a296f33dec9dd23c2a3c2afa48dfe2569e905a2f9bad753c08d,WDIEXCEL.xlsx!Series!PA.NUS.FCRF,PASS,,PA.NUS.FCRF,archived_series_title
WDI_2019_03_21,2019-03-22T00:00:00Z,True,True,"Inflation, consumer prices (annual %)",COMPATIBLE,Annual,True,"Inflation, consumer prices (annual %)",COMPATIBLE,True,3725227a85ac0f16e76de7906b0d1369b179d3c052f3fa01a780770b12a36405,WDIEXCEL.xlsx!Series!FP.CPI.TOTL.ZG,PASS,,FP.CPI.TOTL.ZG,archived_series_title
WDI_2019_03_21,2019-03-22T00:00:00Z,True,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,Annual,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,True,3725227a85ac0f16e76de7906b0d1369b179d3c052f3fa01a780770b12a36405,WDIEXCEL.xlsx!Series!PA.NUS.FCRF,PASS,,PA.NUS.FCRF,archived_series_title
WDI_2019_04_24,2019-04-25T00:00:00Z,True,True,"Inflation, consumer prices (annual %)",COMPATIBLE,Annual,True,"Inflation, consumer prices (annual %)",COMPATIBLE,True,0d8bb621494aeb6dc867538211ae4d8a98230552b96398f43d14a0fdc87148d3,WDIEXCEL.xlsx!Series!FP.CPI.TOTL.ZG,PASS,,FP.CPI.TOTL.ZG,archived_series_title
WDI_2019_04_24,2019-04-25T00:00:00Z,True,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,Annual,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,True,0d8bb621494aeb6dc867538211ae4d8a98230552b96398f43d14a0fdc87148d3,WDIEXCEL.xlsx!Series!PA.NUS.FCRF,PASS,,PA.NUS.FCRF,archived_series_title
WDI_2019_06_28,2019-06-29T00:00:00Z,True,True,"Inflation, consumer prices (annual %)",COMPATIBLE,Annual,True,"Inflation, consumer prices (annual %)",COMPATIBLE,True,8387106a5aa5de174aeeec58bb925f266cb72345427ef8cd5570d893516d4bca,WDIEXCEL.xlsx!Series!FP.CPI.TOTL.ZG,PASS,,FP.CPI.TOTL.ZG,archived_series_title
WDI_2019_06_28,2019-06-29T00:00:00Z,True,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,Annual,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,True,8387106a5aa5de174aeeec58bb925f266cb72345427ef8cd5570d893516d4bca,WDIEXCEL.xlsx!Series!PA.NUS.FCRF,PASS,,PA.NUS.FCRF,archived_series_title
WDI_2019_09_24,2019-09-25T00:00:00Z,True,True,"Inflation, consumer prices (annual %)",COMPATIBLE,Annual,True,"Inflation, consumer prices (annual %)",COMPATIBLE,True,d771e9fdfe82a6eeac7bcdc0b9840677033b6cbe0e3edf1faa35a7b89ffc4454,WDIEXCEL.xlsx!Series!FP.CPI.TOTL.ZG,PASS,,FP.CPI.TOTL.ZG,archived_series_title
WDI_2019_09_24,2019-09-25T00:00:00Z,True,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,Annual,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,True,d771e9fdfe82a6eeac7bcdc0b9840677033b6cbe0e3edf1faa35a7b89ffc4454,WDIEXCEL.xlsx!Series!PA.NUS.FCRF,PASS,,PA.NUS.FCRF,archived_series_title
WDI_2019_10_28,2019-10-29T00:00:00Z,True,True,"Inflation, consumer prices (annual %)",COMPATIBLE,Annual,True,"Inflation, consumer prices (annual %)",COMPATIBLE,True,61369fffef6abbae3ba24689bed2268f70c127144d227cf590a92b419f291e65,WDIEXCEL.xlsx!Series!FP.CPI.TOTL.ZG,PASS,,FP.CPI.TOTL.ZG,archived_series_title
WDI_2019_10_28,2019-10-29T00:00:00Z,True,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,Annual,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,True,61369fffef6abbae3ba24689bed2268f70c127144d227cf590a92b419f291e65,WDIEXCEL.xlsx!Series!PA.NUS.FCRF,PASS,,PA.NUS.FCRF,archived_series_title
WDI_2019_12_20,2019-12-21T00:00:00Z,True,True,"Inflation, consumer prices (annual %)",COMPATIBLE,Annual,True,"Inflation, consumer prices (annual %)",COMPATIBLE,True,c43c055ebb9b969e01b315416573e537da82cce656bbb87aa16f71c83f284c7e,WDIEXCEL.xlsx!Series!FP.CPI.TOTL.ZG,PASS,,FP.CPI.TOTL.ZG,archived_series_title
WDI_2019_12_20,2019-12-21T00:00:00Z,True,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,Annual,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,True,c43c055ebb9b969e01b315416573e537da82cce656bbb87aa16f71c83f284c7e,WDIEXCEL.xlsx!Series!PA.NUS.FCRF,PASS,,PA.NUS.FCRF,archived_series_title
WDI_2020_04_09,2020-04-10T00:00:00Z,True,True,"Inflation, consumer prices (annual %)",COMPATIBLE,Annual,True,"Inflation, consumer prices (annual %)",COMPATIBLE,True,319224671ad12a0326fbee05d798192fdf9459a96f4f22a5f2567085046e742b,WDIEXCEL.xlsx!Series!FP.CPI.TOTL.ZG,PASS,,FP.CPI.TOTL.ZG,archived_series_title
WDI_2020_04_09,2020-04-10T00:00:00Z,True,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,Annual,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,True,319224671ad12a0326fbee05d798192fdf9459a96f4f22a5f2567085046e742b,WDIEXCEL.xlsx!Series!PA.NUS.FCRF,PASS,,PA.NUS.FCRF,archived_series_title
WDI_2020_07_01,2020-07-02T00:00:00Z,True,True,"Inflation, consumer prices (annual %)",COMPATIBLE,Annual,True,"Inflation, consumer prices (annual %)",COMPATIBLE,True,99008d3a12c9054b12b161f23d017b3a09971734a601f52844c7d544c86b42c8,WDIEXCEL.xlsx!Series!FP.CPI.TOTL.ZG,PASS,,FP.CPI.TOTL.ZG,archived_series_title
WDI_2020_07_01,2020-07-02T00:00:00Z,True,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,Annual,True,"Official exchange rate (LCU per US$, period average)",COMPATIBLE,True,99008d3a12c9054b12b161f23d017b3a09971734a601f52844c7d544c86b42c8,WDIEXCEL.xlsx!Series!PA.NUS.FCRF,PASS,,PA.NUS.FCRF,archived_series_title
